entity,doc_id,F1_rules,F1_TBM
Diagnostic_procedure,28202869,0.31372549019607837,0.8717948717948718
Diagnostic_procedure,28216610,0.5599999999999999,0.9275362318840579
Diagnostic_procedure,28239141,0.5333333333333333,0.8813559322033899
Diagnostic_procedure,28250406,0.4117647058823529,0.8749999999999999
Diagnostic_procedure,28296775,0.15384615384615385,0.39999999999999997
Diagnostic_procedure,28321073,0.68,0.9259259259259259
Diagnostic_procedure,28353556,0.5306122448979591,0.9142857142857143
Diagnostic_procedure,28353604,0.2857142857142857,0.8571428571428571
Diagnostic_procedure,28422883,0.4615384615384615,0.9
Disease_disorder,15939911,0.0,0.4444444444444444
Disease_disorder,18258107,0.0,0.4
Disease_disorder,18416479,0.0,0.6666666666666666
Disease_disorder,19009665,1.0,0.8
Disease_disorder,19860007,0.7272727272727272,0.7272727272727272
Disease_disorder,21067996,0.0,0.8
Disease_disorder,21527041,0.0,0.4
Disease_disorder,21672201,0.2222222222222222,0.8
Disease_disorder,22515939,0.2857142857142857,0.8333333333333334
Disease_disorder,22665582,0.3076923076923077,0.36363636363636365
Disease_disorder,22791498,0.2222222222222222,0.6153846153846153
Disease_disorder,23312850,0.0,0.5
Disease_disorder,23897372,0.42857142857142855,0.823529411764706
Disease_disorder,24518095,0.6666666666666666,0.8571428571428571
Disease_disorder,24898994,0.0,0.7000000000000001
Disease_disorder,25210224,0.0,0.4444444444444445
Disease_disorder,25246819,0.09756097560975609,0.7241379310344828
Disease_disorder,25295501,0.0,1.0
Disease_disorder,25926582,0.0,0.0
Disease_disorder,26228535,0.0,1.0
Disease_disorder,26309459,0.26666666666666666,0.2105263157894737
Disease_disorder,26327988,0.0,0.8333333333333333
Disease_disorder,26361640,0.0,0.5714285714285715
Disease_disorder,26444414,0.2222222222222222,1.0
Disease_disorder,26474553,0.0,0.5
Disease_disorder,26530965,0.0,0.8000000000000002
Disease_disorder,26584481,0.5,0.8571428571428571
Disease_disorder,26656340,0.0,0.0
Disease_disorder,26664317,0.0,0.3333333333333333
Disease_disorder,26675562,0.0,0.2
Disease_disorder,26683938,0.0,0.8571428571428571
Disease_disorder,27004009,0.8571428571428571,0.8
Disease_disorder,27196481,0.0,0.7272727272727273
Disease_disorder,27683825,0.0,0.0
Disease_disorder,27793101,0.0,0.8
Disease_disorder,27842595,0.26666666666666666,0.37499999999999994
Disease_disorder,27846860,0.5714285714285715,0.896551724137931
Disease_disorder,27906105,0.5,1.0
Disease_disorder,28120581,0.0,0.0
Disease_disorder,28151882,0.25,0.33333333333333337
Disease_disorder,28190872,0.15384615384615385,0.7272727272727273
Disease_disorder,28202869,0.0,0.875
Disease_disorder,28216610,0.0,0.8333333333333333
Disease_disorder,28239141,0.5,0.7499999999999999
Disease_disorder,28250406,0.0,0.5
Disease_disorder,28296775,0.3529411764705882,0.6956521739130435
Disease_disorder,28321073,0.5,0.8
Disease_disorder,28353556,0.4,1.0
Disease_disorder,28353604,0.09523809523809525,0.7878787878787877
Disease_disorder,28422883,0.6666666666666666,0.8571428571428571
Distance,19009665,1.0,1.0
Distance,19860007,1.0,0.5
Distance,21527041,1.0,1.0
Distance,22791498,0.0,0.0
Distance,23312850,0.8,1.0
Distance,23897372,0.0,0.0
Distance,24898994,1.0,0.0
Distance,25210224,1.0,1.0
Distance,25295501,1.0,1.0
Distance,26228535,0.0,1.0
Distance,26327988,1.0,1.0
Distance,26361640,0.0,1.0
Distance,26444414,0.4,0.8
Distance,26584481,0.0,0.0
Distance,26664317,0.5,0.4
Distance,26675562,0.0,0.0
Distance,27683825,0.0,0.0
Distance,27793101,0.25,1.0
Distance,27842595,1.0,1.0
Distance,28120581,0.0,0.0
Distance,28151882,0.0,0.0
Distance,28216610,0.0,0.0
Distance,28239141,0.0,0.0
Distance,28296775,0.3333333333333333,0.25
Distance,28321073,0.5,1.0
Distance,28353556,0.0,0.0
Distance,28353604,0.0,0.0
Dosage,18258107,0.5,0.6666666666666666
Dosage,18416479,0.0,0.0
Dosage,19009665,0.4,1.0
Dosage,19860007,0.0,0.0
Dosage,21067996,0.0,0.2
Dosage,22515939,1.0,0.6666666666666666
Dosage,22791498,0.0,0.0
Dosage,23312850,0.4000000000000001,1.0
Dosage,23897372,0.0,0.0
Dosage,24518095,1.0,1.0
Dosage,25295501,1.0,1.0
Dosage,25926582,0.0,0.0
Dosage,26228535,0.5,1.0
Dosage,26309459,0.18181818181818182,1.0
Dosage,26327988,0.0,0.0
Dosage,26361640,0.0,0.0
Dosage,26444414,0.0,0.0
Dosage,26474553,0.0,0.0
Dosage,26584481,0.0,0.0
Dosage,26675562,1.0,1.0
Dosage,26683938,0.6666666666666666,1.0
Dosage,27004009,0.0,0.0
Dosage,27846860,0.4,1.0
Dosage,27906105,0.0,0.0
Dosage,28190872,1.0,0.8888888888888888
Dosage,28202869,0.75,0.7368421052631577
Dosage,28216610,0.0,0.6666666666666666
Dosage,28239141,0.25,0.8571428571428571
Dosage,28321073,0.0,1.0
Dosage,28353556,0.6923076923076924,0.11764705882352942
Dosage,28353604,0.4000000000000001,0.0
Dosage,28422883,0.0,0.0
Duration,15939911,0.6666666666666666,1.0
Duration,18258107,0.5,0.5
Duration,18416479,0.3333333333333333,0.25
Duration,19009665,0.0,0.0
Duration,19860007,0.0,0.0
Duration,21672201,0.0,0.0
Duration,22515939,0.0,0.0
Duration,22665582,0.0,0.0
Duration,22791498,0.6666666666666666,0.4
Duration,23312850,1.0,1.0
Duration,23897372,0.0,0.0
Duration,24518095,0.0,0.0
Duration,24898994,0.0,0.0
Duration,25246819,0.6666666666666666,1.0
Duration,25295501,0.0,1.0
Duration,25926582,1.0,0.0
Duration,26228535,0.6666666666666666,1.0
Duration,26309459,0.0,0.0
Duration,26327988,0.0,0.0
Duration,26361640,0.0,1.0
Duration,26444414,1.0,1.0
Duration,26474553,0.0,0.5
Duration,26530965,0.4,1.0
Duration,26584481,0.0,0.0
Duration,26664317,0.5,1.0
Duration,26675562,0.0,1.0
Duration,26683938,0.5,1.0
Duration,27004009,0.0,1.0
Duration,27683825,0.0,0.0
Duration,27793101,0.0,0.0
Duration,27842595,0.6666666666666666,0.6666666666666666
Duration,27846860,1.0,1.0
Duration,27906105,1.0,1.0
Duration,28120581,0.0,1.0
Duration,28151882,0.5714285714285715,0.8333333333333334
Duration,28190872,0.6666666666666666,1.0
Duration,28202869,0.0,0.0
Duration,28216610,0.0,1.0
Duration,28239141,0.0,0.5
Duration,28250406,0.4,0.5
Duration,28296775,1.0,1.0
Duration,28321073,0.3333333333333333,0.8
Duration,28353556,0.75,1.0
Duration,28353604,0.5,1.0
Duration,28422883,0.0,0.28571428571428575
Family_history,21527041,0.0,0.6666666666666666
Family_history,22665582,0.0,0.0
Family_history,25246819,0.0,0.0
Family_history,26584481,1.0,0.6666666666666666
Family_history,26656340,0.0,0.0
Family_history,27004009,1.0,1.0
Family_history,27683825,0.0,0.4
Family_history,28296775,0.0,0.0
Family_history,28353604,0.0,0.0
Frequency,15939911,0.0,1.0
Frequency,18258107,0.0,0.0
Frequency,18416479,0.0,0.0
Frequency,19860007,0.0,0.0
Frequency,21527041,0.0,0.0
Frequency,23312850,0.4,0.0
Frequency,23897372,0.0,0.0
Frequency,24898994,0.0,0.0
Frequency,25246819,0.0,0.6666666666666666
Frequency,25295501,0.0,0.0
Frequency,25926582,0.0,0.0
Frequency,26228535,0.0,0.0
Frequency,26327988,1.0,1.0
Frequency,26361640,0.0,0.0
Frequency,26474553,0.0,0.0
Frequency,26656340,0.0,0.0
Frequency,26675562,1.0,1.0
Frequency,26683938,0.0,0.0
Frequency,27683825,1.0,0.0
Frequency,27842595,0.0,0.0
Frequency,27846860,0.0,0.0
Frequency,28190872,1.0,1.0
Frequency,28202869,0.0,0.0
Frequency,28216610,0.0,0.0
Frequency,28250406,0.0,0.0
Frequency,28353556,0.0,0.0
Frequency,28353604,0.0,0.0
Height,22791498,1.0,1.0
History,15939911,1.0,1.0
History,18258107,0.0,0.8
History,19009665,0.0,1.0
History,19860007,1.0,0.0
History,21067996,0.0,0.0
History,21527041,0.0,1.0
History,21672201,0.6666666666666666,0.0
History,22515939,0.0,1.0
History,22665582,0.0,0.0
History,23312850,0.0,1.0
History,23897372,0.6666666666666666,0.4
History,24518095,0.0,1.0
History,25210224,0.0,1.0
History,25926582,0.0,0.0
History,26309459,0.0,1.0
History,26327988,0.0,0.0
History,26361640,0.4,1.0
History,26444414,0.6666666666666666,1.0
History,26474553,0.0,0.3333333333333333
History,26584481,0.0,0.4444444444444445
History,26656340,0.0,0.4
History,26664317,0.0,0.2
History,26683938,0.0,1.0
History,27004009,0.0,0.5
History,27683825,0.0,0.0
History,27846860,0.4,0.8
History,27906105,0.0,1.0
History,28120581,0.0,0.5
